Time,Seasonally Adjusted Unemployment rate (Both sexes)【%】
Jan.2000,4.7
Feb.2000,4.9
Mar.2000,4.9
Apr.2000,4.8
May-00,4.6
Jun.2000,4.7
Jul.2000,4.7
Aug.2000,4.6
Sep.2000,4.7
Oct.2000,4.7
Nov.2000,4.7
Dec.2000,4.8
Jan.2001,4.8
Feb.2001,4.7
Mar.2001,4.8
Apr.2001,4.8
May-01,4.9
Jun.2001,5
Jul.2001,5
Aug.2001,5.1
Sep.2001,5.3
Oct.2001,5.3
Nov.2001,5.4
Dec.2001,5.4
Jan.2002,5.2
Feb.2002,5.3
Mar.2002,5.3
Apr.2002,5.3
May-02,5.4
Jun.2002,5.5
Jul.2002,5.4
Aug.2002,5.5
Sep.2002,5.4
Oct.2002,5.4
Nov.2002,5.2
Dec.2002,5.4
Jan.2003,5.4
Feb.2003,5.2
Mar.2003,5.4
Apr.2003,5.5
May-03,5.4
Jun.2003,5.4
Jul.2003,5.2
Aug.2003,5.1
Sep.2003,5.2
Oct.2003,5.1
Nov.2003,5.1
Dec.2003,4.9
Jan.2004,4.9
Feb.2004,5
Mar.2004,4.8
Apr.2004,4.8
May-04,4.7
Jun.2004,4.7
Jul.2004,4.9
Aug.2004,4.8
Sep.2004,4.6
Oct.2004,4.6
Nov.2004,4.5
Dec.2004,4.5
Jan.2005,4.5
Feb.2005,4.6
Mar.2005,4.5
Apr.2005,4.5
May-05,4.5
Jun.2005,4.3
Jul.2005,4.4
Aug.2005,4.3
Sep.2005,4.2
Oct.2005,4.4
Nov.2005,4.5
Dec.2005,4.4
Jan.2006,4.4
Feb.2006,4.1
Mar.2006,4.1
Apr.2006,4.1
May-06,4.1
Jun.2006,4.2
Jul.2006,4.1
Aug.2006,4.1
Sep.2006,4.1
Oct.2006,4.1
Nov.2006,4
Dec.2006,4
Jan.2007,4
Feb.2007,4
Mar.2007,4
Apr.2007,3.8
May-07,3.8
Jun.2007,3.7
Jul.2007,3.6
Aug.2007,3.7
Sep.2007,3.9
Oct.2007,4
Nov.2007,3.8
Dec.2007,3.7
Jan.2008,3.9
Feb.2008,4
Mar.2008,3.8
Apr.2008,3.9
May-08,4
Jun.2008,4
Jul.2008,3.9
Aug.2008,4.1
Sep.2008,4
Oct.2008,3.8
Nov.2008,4
Dec.2008,4.4
Jan.2009,4.3
Feb.2009,4.6
Mar.2009,4.8
Apr.2009,5
May-09,5.1
Jun.2009,5.2
Jul.2009,5.5
Aug.2009,5.4
Sep.2009,5.4
Oct.2009,5.2
Nov.2009,5.2
Dec.2009,5.2
Jan.2010,5
Feb.2010,5
Mar.2010,5.1
Apr.2010,5.1
May-10,5.1
Jun.2010,5.2
Jul.2010,5
Aug.2010,5.1
Sep.2010,5.1
Oct.2010,5.1
Nov.2010,5
Dec.2010,4.9
Jan.2011,4.8
Feb.2011,4.7
Mar.2011,4.7
Apr.2011,4.7
May-11,4.6
Jun.2011,4.7
Jul.2011,4.7
Aug.2011,4.5
Sep.2011,4.2
Oct.2011,4.4
Nov.2011,4.5
Dec.2011,4.5
Jan.2012,4.5
Feb.2012,4.5
Mar.2012,4.5
Apr.2012,4.5
May-12,4.4
Jun.2012,4.3
Jul.2012,4.3
Aug.2012,4.2
Sep.2012,4.2
Oct.2012,4.1
Nov.2012,4.1
Dec.2012,4.3
Jan.2013,4.2
Feb.2013,4.3
Mar.2013,4.1
Apr.2013,4.1
May-13,4.1
Jun.2013,3.9
Jul.2013,3.8
Aug.2013,4.1
Sep.2013,3.9
Oct.2013,4
Nov.2013,3.9
Dec.2013,3.7
Jan.2014,3.7
Feb.2014,3.6
Mar.2014,3.7
Apr.2014,3.6
May-14,3.6
Jun.2014,3.7
Jul.2014,3.7
Aug.2014,3.5
Sep.2014,3.5
Oct.2014,3.6
Nov.2014,3.4
Dec.2014,3.4
Jan.2015,3.6
Feb.2015,3.5
Mar.2015,3.4
Apr.2015,3.4
May-15,3.3
Jun.2015,3.4
Jul.2015,3.3
Aug.2015,3.4
Sep.2015,3.4
Oct.2015,3.2
Nov.2015,3.3
Dec.2015,3.3
Jan.2016,3.2
Feb.2016,3.3
Mar.2016,3.2
Apr.2016,3.2
May-16,3.2
Jun.2016,3.1
Jul.2016,3
Aug.2016,3.1
Sep.2016,3
Oct.2016,3
Nov.2016,3
Dec.2016,3
Jan.2017,3
Feb.2017,2.9
Mar.2017,2.8
Apr.2017,2.8
May-17,3
Jun.2017,2.8
Jul.2017,2.8
Aug.2017,2.8
Sep.2017,2.8
Oct.2017,2.7
Nov.2017,2.7
Dec.2017,2.7
Jan.2018,2.4
Feb.2018,2.5
Mar.2018,2.5
Apr.2018,2.5
May-18,2.2
Jun.2018,2.4
Jul.2018,2.5
Aug.2018,2.5
Sep.2018,2.3
Oct.2018,2.4
Nov.2018,2.5
Dec.2018,2.5
Jan.2019,2.5
Feb.2019,2.4
Mar.2019,2.5
Apr.2019,2.4
May-19,2.3
Jun.2019,2.3
Jul.2019,2.3
Aug.2019,2.3
Sep.2019,2.4
Oct.2019,2.4
Nov.2019,2.3
Dec.2019,2.2
Jan.2020,2.4
Feb.2020,2.4
Mar.2020,2.5
Apr.2020,2.6
May-20,2.8
Jun.2020,2.8
Jul.2020,2.9
Aug.2020,3
Sep.2020,3
Oct.2020,3.1
Nov.2020,3
Dec.2020,3.1
Jan.2021,3
Feb.2021,2.9
Mar.2021,2.7
Apr.2021,2.9
May-21,2.9
Jun.2021,2.9
Jul.2021,2.8
Aug.2021,2.8
Sep.2021,2.7
Oct.2021,2.7
Nov.2021,2.8
Dec.2021,2.7
Jan.2022,2.8
Feb.2022,2.7
Mar.2022,2.6
Apr.2022,2.6
May-22,2.6
Jun.2022,2.6
Jul.2022,2.5
Aug.2022,2.5
Sep.2022,2.6
Oct.2022,2.6
Nov.2022,2.5
Dec.2022,2.5
Jan.2023,2.5
Feb.2023,2.6
Mar.2023,2.7
Apr.2023,2.6
May-23,2.5
Jun.2023,2.5
Jul.2023,2.6
Aug.2023,2.6
Sep.2023,2.6
Oct.2023,2.6
Nov.2023,2.6
Dec.2023,2.5
Jan.2024,2.5
Feb.2024,2.6
Mar.2024,2.6
Apr.2024,2.6
May-24,2.6
Jun.2024,2.5
Jul.2024,2.6
Aug.2024,2.5
Sep.2024,2.4
Oct.2024,2.5
Nov.2024,2.5
Dec.2024,2.5
Jan.2025,2.5
Feb.2025,2.4
Mar.2025,2.5
Apr.2025,2.5
May-25,2.5
Jun.2025,2.5
Jul.2025,2.3
Aug.2025,2.6
