,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,（品目分類）第２表　１世帯当たりの品目別支出金額（総世帯）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Commodity Classification) Table 2. Yearly Amount of Expenditures of Commodities per Household (Total Households) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,単位　円,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,In  Yen,,,,
,,,,,,,項      目,,,,,,,,,,,,,,,,,Item,,,,,,,
,,,,,,,,,,,,,,,,平成21年,22,23,24,25,26,27,28,,,,,,,,
,,,,,,,,,,,,,,,,計,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,
1000P,80*01       ,            ,01,,1,,世帯数分布(抽出率調整),,,,,,,,,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000",,Distribution of households,,,,,,
1000P,80*01       ,            ,01,,2,,集計世帯数,,,,,,,,,"8,531","8,526","8,365","8,489","8,478","8,467","8,471","8,400",,Num. of tabulated households,,,,,,
1000P,80*01       ,            ,01,,3,,世     帯     人     員   (人),,,,,,,,,2.49,2.47,2.47,2.45,2.44 ,2.41 ,2.38 ,2.35 ,,Num. of persons per household (persons),,,,,,
1000P,80*01       ,            ,01,,4,,,18歳    未    満    人    員(人),,,,,,,,0.46,0.44,0.44,0.42,0.41 ,0.41 ,0.39 ,0.38 ,,Num. of persons under 18 (persons),,,,,,
1000P,80*01       ,            ,01,,5,,,65歳    以    上    人    員(人),,,,,,,,0.59,0.60,0.62,0.64,0.67 ,0.69 ,0.71 ,0.72 ,,Num. of persons 65 and over (persons),,,,,,
1000P,80*01       ,            ,01,,6,,,,う ち  無  職  者  人  員(人),,,,,,,0.48,0.50,0.51,0.52,0.54 ,0.56 ,0.57 ,0.58 ,,of which Retired (persons),,,,,,
1000P,80*01       ,            ,01,,7,,有     業     人     員   (人),,,,,,,,,1.13,1.11,1.09,1.09,1.09 ,1.07 ,1.09 ,1.08 ,,Num. of earners per household (persons),,,,,,
1000P,80*01       ,            ,01,,8,,世  帯  主  の  年  齢   (歳),,,,,,,,,55.7,56.4,56.9,57.5,58.0,58.3,58.9,59.0,,Age of household heads (years old),,,,,,
1000P,80*01       ,            ,01,,9,,持         家         率   (％),,,,,,,,,71.4,71.9,71.0,73.7,75.4,74.7,75.1,75.7,,Rate of owned dwellings (%),,,,,,
1000P,80*01       ,            ,01,,10,,家賃・地代を支払っている世帯の割合(％),,,,,,,,,26.4,25.6,26.3,23.7,22.3,23.1,22.3,21.8,,Rate of rented dwellings & land (%),,,,,,
